Date;Prices;Returns
20100414;16,361;3,725359154
20100415;16,280;-0,493480029
20100416;16,591;1,890150777
20100419;16,752;0,966191091
20100420;16,925;1,024949184
20100421;16,867;-0,340483815
20100422;16,867;0
20100423;17,201;1,958860338
20100426;17,937;4,191838323
20100427;17,546;-2,205018002
20100428;17,235;-1,786352496
20100429;17,661;2,439949594
20100430;18,340;3,771619933
20100503;19,007;3,574009473
20100504;18,317;-3,699558768
20100505;18,409;0,501254182
20100506;18,628;1,180504545
20100507;17,880;-4,097642275
20100510;17,558;-1,818231908
20100511;18,052;2,778854089
20100512;18,110;0,318167624
20100513;18,202;0,506971935
20100514;18,006;-1,080404535
20100517;17,373;-3,577617317
20100518;17,592;1,250427612
20100519;16,936;-3,799190664
20100520;16,913;-0,135961952
20100521;17,086;1,015237146
20100524;17,742;3,766550289
20100525;17,489;-1,436994028
20100526;18,064;3,23652845
20100527;17,822;-1,346605793
20100528;17,385;-2,483787814
20100531;17,385;0
20100601;17,419;0,198347172
20100602;17,569;0,854987122
20100603;17,558;-0,065509337
20100604;17,650;0,522877008
20100607;17,512;-0,785344351
20100608;18,052;3,041321431
20100609;18,133;0,445151768
20100610;17,788;-1,921904127
20100611;17,972;1,029610125
20100614;18,271;1,650831141
20100615;18,167;-0,568362755
20100616;17,914;-1,403084242
20100617;18,075;0,895146642
20100618;18,144;0,381194871
20100621;18,225;0,442898541
20100622;17,650;-3,207459045
20100623;17,684;0,195376161
20100624;17,546;-0,78380545
20100625;17,742;1,108586508
20100628;17,753;0,064829824
20100629;17,512;-1,370331394
20100630;17,558;0,262467342
20100701;17,546;-0,06555228
20100702;17,673;0,718722467
20100705;17,707;0,195122013
20100706;17,466;-1,373917588
20100707;17,086;-2,197890672
20100708;16,568;-3,077165867
20100709;16,856;1,721212888
20100712;16,188;-4,039546434
20100713;15,935;-1,575963849
20100714;16,119;1,148612772
20100715;16,050;-0,429185208
20100716;16,407;2,197890672
20100719;16,752;2,081962778
20100720;16,372;-2,292563067
20100721;16,039;-2,059000677
20100722;16,395;2,199450138
20100723;16,119;-1,698554637
20100726;15,567;-3,486191817
20100727;15,786;1,394518012
20100728;15,832;0,291121021
20100729;16,131;1,87190491
20100730;16,280;0,922974248
20100802;16,672;2,374413224
20100803;16,603;-0,414938355
20100804;16,488;-0,695413095
20100805;16,499;0,069759333
20100806;16,372;-0,770042307
20100809;16,764;2,361220811
20100810;16,683;-0,481597078
20100811;16,568;-0,692044284
20100812;16,603;0,20811662
20100813;16,672;0,414938355
20100816;16,580;-0,553634632
20100817;16,672;0,553634632
20100818;16,568;-0,623054975
20100819;17,166;3,547438819
20100820;17,339;1,000341786
20100823;17,051;-1,672839277
20100824;17,212;0,940235268
20100825;17,707;2,83379753
20100826;17,558;-0,848292199
20100827;17,592;0,196399408
20100830;17,788;1,105702322
20100831;17,569;-1,236592393
20100901;17,707;0,782782862
20100902;18,156;2,502536757
20100903;18,110;-0,253807243
20100906;18,087;-0,127145599
20100907;18,110;0,127145599
20100908;17,960;-0,829350846
20100909;17,845;-0,642675734
20100910;17,581;-1,494019345
20100913;17,604;0,130804466
20100914;17,569;-0,196270917
20100915;17,742;0,97752489
20100916;17,558;-1,043034228
20100917;17,615;0,327118381
20100920;17,281;-1,912356333
20100921;17,155;-0,735051756
20100922;17,293;0,801607499
20100923;17,132;-0,935835707
20100924;17,604;2,71629817
20100927;17,707;0,586511945
20100928;18,029;1,803010852
20100929;18,006;-0,127713938
20100930;17,730;-1,545426765
20101001;17,673;-0,324992161
20101004;17,569;-0,587660849
20101005;17,914;1,945586662
20101006;17,914;0
20101007;17,799;-0,644332126
20101008;17,914;0,644332126
20101011;18,225;1,719240054
20101012;18,121;-0,569802111
20101013;17,983;-0,764822084
20101014;17,880;-0,577479949
20101015;17,776;-0,58083416
20101018;17,696;-0,454103927
20101019;17,293;-2,301976031
20101020;17,431;0,795232819
20101021;17,097;-1,932749267
20101022;17,339;1,403297335
20101025;17,442;0,595436758
20101026;17,258;-1,061017911
20101027;17,373;0,664454272
20101028;17,155;-1,266261504
20101029;16,833;-1,895791374
20101101;16,902;0,409277515
20101102;16,925;0,136054443
20101103;16,902;-0,136054443
20101104;16,545;-2,132863789
20101105;16,695;0,89997146
20101108;16,384;-1,878316091
20101109;16,453;0,420463128
20101110;16,672;1,319921907
20101111;17,074;2,386748141
20101112;17,143;0,403497521
20101115;17,385;1,399556333
20101116;16,833;-3,228256125
20101117;17,120;1,694381437
20101118;17,189;0,40241503
20101119;17,212;0,133779284
20101122;17,350;0,798939003
20101123;17,281;-0,398671624
20101124;17,431;0,861788562
20101125;17,350;-0,463116938
20101126;17,350;0
20101129;17,201;-0,865806274
20101130;16,982;-1,279048066
20101201;17,074;0,540541857
20101202;16,879;-1,152164558
20101203;16,971;0,543849063
20101206;17,109;0,810267769
20101207;17,017;-0,539448375
20101208;16,879;-0,814668457
20101209;16,718;-0,958911457
20101210;16,787;0,412088495
20101213;16,730;-0,33613477
20101214;16,640;-0,540176871
20101215;16,494;-0,884058801
20101216;16,404;-0,547946576
20101217;16,088;-1,941808586
20101220;15,998;-0,56179923
20101221;15,976;-0,14094435
20101222;16,133;0,982464043
20101223;15,863;-1,69018108
20101224;15,874;0,070997518
20101229;16,088;1,3394631
20101230;15,953;-0,843886865
20110103;16,043;0,563381772
20110104;16,257;1,32544668
20110105;16,370;0,69061048
20110106;16,550;1,09515126
20110107;16,482;-0,409277515
20110110;16,032;-2,772180293
20110111;16,122;0,560618147
20110112;16,054;-0,420168685
20110113;16,088;0,21030502
20110114;16,325;1,459879942
20110117;16,404;0,481928644
20110118;16,460;0,342818299
20110119;16,201;-1,586787347
20110120;16,190;-0,06956522
20110121;16,313;0,762568687
20110124;16,437;0,756797558
20110125;16,787;2,102485042
20110126;16,798;0,067091583
20110127;16,595;-1,21458983
20110128;16,629;0,20345887
20110131;16,877;1,479515892
20110201;16,742;-0,80429388
20110202;16,877;0,80429388
20110203;16,550;-1,95489879
20110204;16,573;0,136054443
20110207;16,494;-0,477002608
20110208;16,573;0,477002608
20110209;16,539;-0,204151143
20110210;16,550;0,0680967
20110211;16,775;1,352285651
20110214;16,775;0
20110215;16,663;-0,673856997
20110216;16,663;0
20110217;16,843;1,076002311
20110218;16,888;0,267201228
20110221;17,192;1,785171374
20110222;17,294;0,588044818
20110223;17,226;-0,391645409
20110224;17,350;0,716848948
20110225;17,384;0,194615696
20110228;17,485;0,581584838
20110301;17,463;-0,128949083
20110302;17,609;0,835212051
20110303;17,406;-1,158314109
20110304;17,823;2,3665959
20110307;17,868;0,252525387
20110308;17,902;0,188976434
20110309;17,891;-0,062952473
20110310;17,767;-0,695105484
20110311;17,722;-0,25396839
20110314;18,702;5,383297829
20110315;19,389;3,608791486
20110316;19,434;0,232153325
20110317;18,916;-2,702867239
20110318;19,400;2,528802791
20110321;18,984;-2,17208422
20110322;19,062;0,414569738
20110323;19,108;0,236127619
20110324;18,634;-2,507594077
20110325;18,984;1,85689672
20110328;19,479;2,57776429
20110329;19,186;-1,515180502
20110330;19,209;0,117370905
20110331;19,468;1,339955965
20110401;19,412;-0,289771284
20110404;19,502;0,463231865
20110405;19,288;-1,103699847
20110406;19,333;0,233372335
20110407;19,119;-1,113401481
20110408;19,153;0,176626481
20110411;18,882;-1,4218249
20110412;18,691;-1,019499085
20110413;18,747;0,300933119
20110414;18,916;0,89740357
20110415;19,288;1,946389962
20110418;18,781;-2,663667395
20110419;18,950;0,895795778
20110420;19,130;0,946752634
20110421;19,006;-0,649928433
20110426;19,029;0,118483426
20110427;19,265;1,235673269
20110428;19,389;0,641214671
20110429;19,310;-0,407569705
20110502;19,626;1,620405825
20110503;19,378;-1,27095876
20110504;19,254;-0,641588669
20110505;19,119;-0,704641788
20110506;19,209;0,470312448
20110509;19,209;0
20110510;19,108;-0,529257337
20110511;18,972;-0,710062155
20110512;19,051;0,41481541
20110513;18,837;-1,129955525
20110516;19,029;1,011612316
20110517;18,747;-1,491229543
20110518;18,691;-0,300933119
20110519;18,589;-0,54397233
20110520;18,465;-0,668898815
20110523;18,195;-1,475134309
20110524;18,432;1,291928151
20110525;18,454;0,122174725
20110526;18,420;-0,183318108
20110527;19,029;3,249383348
20110530;19,029;0
20110531;19,141;0,590320486
20110601;18,927;-1,124604927
20110602;18,871;-0,298062814
20110603;18,961;0,476474993
20110606;18,803;-0,835327053
20110607;18,758;-0,239952125
20110608;18,601;-0,844395849
20110609;18,781;0,964443883
20110610;18,758;-0,120048034
20110613;18,803;0,239952125
20110614;18,589;-1,144935677
20110615;18,308;-1,526747213
20110616;18,139;-0,927363679
20110617;17,632;-2,8348355
20110620;17,204;-2,458079776
20110621;16,674;-3,126293846
20110622;16,651;-0,135226525
20110623;15,063;-10,02615244
20110624;13,812;-8,667146061
20110627;14,612;5,629706782
20110628;15,198;3,930967189
20110629;14,657;-3,62303777
20110630;15,243;3,919114966
20110701;14,962;-1,865029813
20110704;15,108;0,974155325
20110705;15,266;1,038585003
20110706;14,849;-2,768601825
20110707;14,646;-1,375117161
20110708;14,286;-2,492340845
20110711;13,621;-4,764728438
20110712;13,970;2,531780798
20110713;13,508;-3,362350357
20110714;13,869;2,633897116
20110715;14,004;0,970096533
20110718;13,767;-1,703895178
20110719;13,970;1,462251887
20110720;14,421;3,174869831
20110721;14,770;2,393012685
20110722;14,635;-0,919546709
20110725;14,567;-0,46296379
20110726;14,488;-0,542847397
20110727;13,981;-3,561911959
20110728;14,105;0,882476646
20110729;13,779;-2,343541597
20110801;13,519;-1,898529991
20110802;13,227;-2,190483539
20110803;12,877;-2,676033659
20110804;12,720;-1,232409965
20110805;12,066;-5,27394937
20110808;12,100;0,279720462
20110809;12,866;6,139111515
20110810;13,069;1,563889388
20110811;13,812;5,53368324
20110812;14,038;1,618158285
20110815;14,049;0,080224633
20110816;13,959;-0,643606405
20110817;14,432;3,333642027
20110818;13,914;-3,657005283
20110819;14,083;1,207258123
20110822;14,162;0,558437829
20110823;14,556;2,746347575
20110824;14,849;1,992403072
20110825;14,669;-1,221389229
20110826;14,860;1,297232995
20110829;15,007;0,980769838
20110830;15,209;1,342302033
20110831;14,590;-4,15938973
20110901;14,533;-0,386847678
20110902;14,207;-2,273716139
20110905;13,970;-1,679367737
20110906;13,745;-1,626052087
20110907;14,026;2,028467117
20110908;13,812;-1,53786924
20110909;13,407;-2,980353039
20110912;13,418;0,083998325
20110913;13,565;1,085605651
20110914;13,790;1,64748372
20110915;13,959;1,218041856
20110916;13,700;-1,87378191
20110919;13,328;-2,751319855
20110920;13,429;0,757898365
20110921;13,317;-0,842464966
20110922;12,787;-4,057526805
20110923;12,810;0,176056384
20110926;12,280;-4,221551853
20110927;12,190;-0,736651582
20110928;11,830;-3,002101625
20110929;12,314;4,013604502
20110930;12,100;-1,753621311
20111003;11,458;-5,453287902
20111004;11,379;-0,690678621
20111005;11,525;1,278915612
20111006;11,796;2,318944492
20111007;11,784;-0,095556625
20111010;12,077;2,455269701
