Date;Brent 1M
20140116;105,75
20140117;106,48
20140120;106,35
20140121;106,73
20140122;108,27
20140123;107,58
20140124;107,88
20140127;106,69
20140128;107,41
20140129;107,85
20140130;107,95
20140131;106,4
20140203;106,04
20140204;105,78
20140205;106,25
20140206;107,19
20140207;109,57
20140210;108,63
20140211;108,68
20140212;108,35
20140213;108,52
20140214;109,08
20140217;109,18
20140218;110,46
20140219;110,47
20140220;110,3
20140221;109,85
20140224;110,64
20140225;109,51
20140226;109,52
20140227;108,96
20140228;109,07
20140303;111,2
20140304;109,3
20140305;107,76
20140306;108,1
20140307;109
20140310;108,08
20140311;108,55
20140312;107,35
20140313;106,92
20140314;108,21
20140317;106,24
20140318;106,79
20140319;105,85
20140320;106,45
20140321;106,92
20140324;106,81
20140325;106,99
20140326;107,03
20140327;107,83
20140328;108,07
20140331;107,76
20140401;105,62
20140402;104,79
20140403;106,15
20140404;106,72
20140407;105,82
20140408;107,67
20140409;107,95
20140410;107,52
20140411;107,4
20140414;109,07
20140415;109,36
20140416;109,6
20140417;109,53
20140422;109,27
20140423;109,11
20140424;110,33
20140425;109,58
20140428;108,12
20140429;108,98
20140430;108,07
20140501;107,76
20140502;108,59
20140505;107,72
20140506;106,49
20140507;107,61
20140508;107,49
20140509;107,28
20140512;107,79
20140513;108,54
20140514;109,31
20140515;109,09
20140516;109,75
20140519;109,37
20140520;109,69
20140521;110,55
20140522;110,36
20140523;110,54
20140526;110,32
20140527;110,02
20140528;109,81
20140529;109,97
20140530;109,41
20140602;108,83
20140603;108,82
20140604;108,4
20140605;108,79
20140606;108,61
20140609;109,99
20140610;108,86
20140611;109,37
20140612;112,42
20140613;112,46
20140616;112,94
20140617;113,45
20140618;114,26
20140619;115,06
20140620;114,81
20140623;114,12
20140624;114,46
20140625;114
20140626;113,21
20140627;113,3
20140630;112,36
20140701;112,29
20140702;111,24
20140703;111
20140704;110,64
20140707;110,24
20140708;109,06
20140709;108,47
20140710;109,01
20140711;107,26
20140714;107,71
20140715;106,88
20140716;107,17
20140717;107,89
20140718;107,24
20140721;107,68
20140722;107,33
20140723;108,03
20140724;107,07
20140725;108,39
20140728;107,57
20140729;107,72
20140730;106,51
20140731;106,02
20140801;104,84
20140804;105,41
20140805;105,25
20140806;105,27
20140807;106,08
20140808;105,62
20140811;105,39
20140812;103,89
20140813;105,06
20140814;102,07
20140815;103,53
20140818;101,6
20140819;101,56
20140820;102,28
20140821;102,63
20140822;102,29
20140825;102,65
20140826;102,5
20140827;102,72
20140828;102,46
20140829;103,19
20140901;102,79
20140902;100,96
20140903;103,34
20140904;102,3
20140905;101,4
20140908;100,86
20140909;99,93
20140910;98,78
20140911;98,86
20140912;97,96
20140915;97,88
20140916;99,05
20140917;98,97
20140918;97,7
20140919;98,39
20140922;96,97
20140923;96,85
20140924;96,95
20140925;97
20140926;97
20140929;97,2
20140930;94,67
20141001;94,16
20141002;93,42
20141003;92,31
20141006;92,79
20141007;92,57
20141008;91,79
20141009;90,37
20141010;90,58
20141013;89,41
20141014;85,41
20141015;84,12
20141016;85,82
20141017;86,16
20141020;85,4
20141021;86,22
20141022;84,71
20141023;86,83
20141024;86,13
20141027;85,83
