Date;Carbon F
20110916;13,7
20110919;13,328
20110920;13,429
20110921;13,317
20110922;12,787
20110923;12,81
20110926;12,28
20110927;12,19
20110928;11,83
20110929;12,314
20110930;12,1
20111003;11,458
20111004;11,379
20111005;11,525
20111006;11,796
20111007;11,784
20111010;12,077
20111011;12,021
20111012;12,055
20111013;11,604
20111014;11,728
20111017;11,649
20111018;11,604
20111019;11,289
20111020;11,48
20111021;11,672
20111024;11,875
20111025;11,728
20111026;11,401
20111027;11,751
20111028;11,739
20111031;11,458
20111101;11,12
20111102;10,692
20111103;10,917
20111104;10,613
20111107;11,21
20111108;11,379
20111109;11,142
20111110;11,063
20111111;11,401
20111114;11,334
20111115;11,3
20111116;11,12
20111117;10,872
20111118;10,534
20111121;10,027
20111122;10,252
20111123;9,509
20111124;8,889
20111125;8,686
20111128;9,002
20111129;8,99
20111130;9,407
20111201;8,934
20111202;8,81
20111205;8,236
20111206;8,247
20111207;8,123
20111208;8,607
20111209;8,833
20111212;8,502
20111213;7,946
20111214;7,327
20111215;7,679
20111216;7,626
20111219;7,882
20111220;9,527
20111221;8,929
20111222;8,63
20111223;8,779
20111228;8,299
20111229;7,754
20111230;7,818
20120103;7,049
20120104;7,017
20120105;7,177
20120106;7,049
20120109;7,263
20120110;7,615
20120111;7,519
20120112;7,679
20120113;7,466
20120116;7,188
20120117;7,188
20120118;7,316
20120119;7,818
20120120;7,765
20120123;7,594
20120124;8,021
20120125;8,106
20120126;8,267
20120127;8,747
20120130;8,299
20120131;8,587
20120201;9,036
20120202;9,335
20120203;9,078
20120206;9,292
20120207;9,335
20120208;8,907
20120209;8,544
20120210;8,459
20120213;8,181
20120214;8,662
20120215;8,929
20120216;9,612
20120217;9,901
20120220;9,367
20120221;9,826
20120222;9,794
20120223;9,463
20120224;10,072
20120227;10,157
20120228;9,634
20120229;9,142
20120301;9,474
20120302;9,666
20120305;9,442
20120306;9,121
20120307;9,185
20120308;9,014
20120309;8,64
20120312;8,384
20120313;8,331
20120314;8,683
20120315;8,555
20120316;8,299
20120319;8,32
20120320;7,669
20120321;7,936
20120322;7,337
20120323;7,498
20120326;7,466
20120327;7,754
20120328;7,669
20120329;7,316
20120330;7,604
20120402;6,771
20120403;6,932
20120404;6,633
20120405;7,273
20120410;7,38
20120411;7,519
20120412;7,669
20120413;7,743
20120416;7,38
20120417;7,658
20120418;7,818
20120419;7,957
20120420;7,946
20120423;7,669
20120424;7,679
20120425;7,637
20120426;7,839
20120427;7,861
20120430;8,117
20120501;8,085
20120502;7,711
20120503;7,647
20120504;7,156
20120507;7,177
20120508;7,316
20120509;7,252
20120510;7,22
20120511;7,305
20120514;7,135
20120515;7,017
20120516;7,07
20120517;7,017
20120518;6,889
20120521;7,177
20120522;7,476
20120523;7,263
20120524;7,37
20120525;7,38
20120528;7,263
20120529;7,092
20120530;6,942
20120531;6,793
20120601;6,91
20120604;6,91
20120605;6,91
20120606;6,889
20120607;6,985
20120608;7,145
20120611;7,156
20120612;7,188
20120613;7,263
20120614;7,402
20120615;7,818
20120618;7,925
20120619;8,117
20120620;8,021
20120621;8,085
20120622;8,726
20120625;8,608
20120626;8,608
20120627;8,512
20120628;8,534
20120629;8,843
20120702;8,705
20120703;8,907
20120704;8,865
20120705;8,929
20120706;8,619
20120709;8,555
20120710;8,491
20120711;8,438
20120712;8,181
20120713;8,171
20120716;8,085
20120717;8,203
20120718;7,637
20120719;7,348
20120720;7,626
20120723;7,615
20120724;7,69
20120725;7,327
20120726;7,455
20120727;7,391
20120730;7,038
20120731;7,402
20120801;7,444
20120802;7,562
20120803;7,594
20120806;7,69
20120807;7,818
20120808;7,733
20120809;7,637
20120810;7,701
20120813;8,01
20120814;8,181
20120815;8
20120816;8,235
20120817;8,235
20120820;8,171
20120821;8,459
20120822;8,576
20120823;8,715
20120824;8,726
20120827;8,715
20120828;8,523
20120829;8,245
20120830;8,213
20120831;8,63
20120903;8,822
20120904;8,769
20120905;8,811
20120906;8,822
20120907;8,95
20120910;8,373
20120911;8,277
20120912;8,491
20120913;8,341
20120914;7,957
20120917;7,904
20120918;7,968
20120919;8,074
20120920;8,203
20120921;7,968
20120924;7,765
20120925;7,989
20120926;8,149
20120927;8,395
20120928;8,502
20121001;8,491
20121002;8,406
20121003;8,106
20121004;8,16
20121005;8,341
20121008;8,459
20121009;8,427
20121010;8,245
20121011;8,341
20121012;8,363
20121015;8,213
20121016;8,544
20121017;8,843
20121018;8,63
20121019;8,512
20121022;8,448
20121023;8,416
20121024;8,192
20121025;8,213
20121026;8,427
20121029;8,63
20121030;8,705
20121031;8,801
20121101;8,598
20121102;8,662
20121105;8,822
20121106;8,918
20121107;8,79
20121108;8,843
20121109;8,897
20121112;9,698
20121113;8,982
20121114;8,459
20121115;7,615
20121116;7,37
20121119;7,167
20121120;7,199
20121121;7,231
20121122;7,252
20121123;7,487
20121126;7,305
20121127;7,316
20121128;7,295
20121129;7,028
20121130;6,622
20121203;6,355
20121204;6,109
20121205;6,568
20121206;6,825
20121207;7,241
20121210;7,549
20121211;7,293
20121212;7,2
20121213;7,118
20121214;7,015
20121217;6,882
20121218;7,118
20121219;7,426
20121220;7,58
20121221;7,406
20121224;7,313
20121227;7,241
20121228;6,892
20121231;6,851
20130102;6,748
20130103;6,574
20130104;6,512
20130107;6,841
20130108;6,646
20130109;6,379
20130110;6,214
20130111;6,081
20130114;6,06
20130115;6,235
20130116;5,803
20130117;5,762
20130118;5,249
20130121;5,084
20130122;5,598
20130123;4,776
20130124;4,448
20130125;4,222
20130128;4,293
20130129;4,098
20130130;3,903
20130131;3,513
20130201;4,458
20130204;4,437
20130205;4,54
20130206;4,293
20130207;4,314
20130208;4,673
20130211;4,602
20130212;4,704
20130213;5,372
20130214;5,392
20130215;5,331
20130218;5,259
20130219;4,807
20130220;5,115
20130221;5,444
20130222;5,331
20130225;4,694
20130226;4,417
20130227;4,591
20130228;5,033
20130301;4,797
20130304;4,756
20130305;4,345
20130306;4,396
20130307;4,437
20130308;4,376
20130311;4,057
20130312;3,831
20130313;3,616
20130314;3,8
20130315;3,883
20130318;3,646
20130319;3,605
20130320;4,078
20130321;4,54
20130322;4,263
20130325;4,612
20130326;4,745
20130327;5,084
20130328;4,941
20130402;5,074
20130403;5,054
20130404;5,177
20130405;5,331
20130408;5,341
20130409;4,91
20130410;4,417
20130411;4,468
20130412;4,899
20130415;4,889
20130416;3,174
20130417;2,825
20130418;3,153
20130419;3,246
20130422;2,968
20130423;3,164
20130424;3,102
20130425;3,051
20130426;3,194
20130429;3,41
20130430;3,205
20130501;2,989
20130502;3,174
20130503;3,883
20130506;4,016
20130507;3,842
20130508;3,585
20130509;3,893
20130510;3,472
20130513;3,359
20130514;3,616
20130515;3,739
20130516;3,8
20130517;3,636
20130520;3,698
20130521;3,657
20130522;3,41
20130523;3,492
20130524;3,657
20130527;3,595
20130528;3,749
20130529;3,852
20130530;3,924
20130531;4,057
20130603;4,026
20130604;4,067
20130605;4,016
20130606;4,109
20130607;4,232
20130610;4,15
20130611;4,314
20130612;4,622
20130613;4,53
20130614;4,899
20130617;4,704
20130618;4,828
20130619;4,509
20130620;4,55
20130621;4,499
20130624;4,232
20130625;4,396
20130626;4,54
20130627;4,55
20130628;4,324
20130701;4,355
20130702;4,406
20130703;4,817
20130704;4,673
20130705;4,406
20130708;4,355
20130709;4,283
20130710;4,16
20130711;4,201
20130712;4,15
20130715;4,16
20130716;4,242
20130717;4,242
20130718;4,242
20130719;4,304
20130722;4,324
20130723;4,376
20130724;4,417
20130725;4,417
20130726;4,448
20130729;4,448
20130730;4,406
20130731;4,458
20130801;4,468
20130802;4,519
20130805;4,55
20130806;4,643
20130807;4,581
20130808;4,653
20130809;4,581
20130812;4,448
20130813;4,427
20130814;4,489
20130815;4,489
20130816;4,489
20130819;4,458
20130820;4,478
20130821;4,499
20130822;4,653
20130823;4,561
20130826;4,55
20130827;4,673
20130828;4,735
20130829;4,725
20130830;4,694
20130902;4,632
20130903;4,54
20130904;4,694
20130905;5,115
20130906;5,475
20130909;5,475
20130910;5,29
20130911;5,423
20130912;5,783
20130913;5,557
20130916;5,629
20130917;5,834
20130918;5,68
20130919;5,505
20130920;5,505
20130923;5,577
20130924;5,536
20130925;5,547
20130926;5,639
20130927;5,536
20130930;5,177
20131001;5,29
20131002;5,423
20131003;5,341
20131004;5,249
20131007;5,105
20131008;5,002
20131009;4,93
20131010;4,899
20131011;4,745
20131014;4,951
20131015;5,095
20131016;5,485
20131017;5,321
20131018;5,269
20131021;4,715
20131022;4,838
20131023;4,745
20131024;4,797
20131025;5,146
20131028;4,961
20131029;5,228
20131030;5,105
20131031;4,941
20131101;4,745
20131104;4,684
20131105;4,93
20131106;4,91
20131107;4,93
20131108;4,612
20131111;4,735
20131112;4,776
20131113;4,776
20131114;4,715
20131115;4,622
20131118;4,468
20131119;4,54
20131120;4,612
20131121;4,53
20131122;4,55
20131125;4,519
20131126;4,612
20131127;4,591
20131128;4,55
20131129;4,478
20131202;4,622
20131203;4,602
20131204;4,602
20131205;4,766
20131206;4,92
20131209;5,03
20131210;5,15
20131211;5,01
20131212;5,02
20131213;4,92
20131216;4,79
20131217;5,01
20131218;4,99
20131219;5,03
20131220;4,87
20131223;4,88
20131224;5,01
20131227;5,03
20131230;5,02
20131231;4,95
20140102;4,83
20140103;4,81
20140106;4,72
20140107;4,76
20140108;4,65
20140109;4,58
20140110;4,6
20140113;4,7
20140114;4,91
20140115;4,9
20140116;5,15
20140117;5,15
20140120;5
20140121;5,11
20140122;5,2
20140123;5,1
20140124;5,34
20140127;5,45
20140128;5,6
20140129;5,57
20140130;5,78
20140131;5,59
20140203;5,91
20140204;5,91
20140205;6,16
20140206;6,54
20140207;6,52
20140210;6,49
20140211;6,33
20140212;6,44
20140213;6,47
20140214;6,68
20140217;6,9
20140218;6,84
20140219;7,01
20140220;7,08
20140221;7,23
20140224;7,1
20140225;6,31
20140226;6,58
20140227;6,59
20140228;7,15
20140303;6,7
20140304;6,9
20140305;6,86
20140306;6,88
20140307;6,98
20140310;6,97
20140311;6,9
20140312;6,58
20140313;6,51
20140314;6,37
20140317;5,95
20140318;5,83
20140319;6,06
20140320;6,08
20140321;6,25
20140324;5,93
20140325;5,93
20140326;5,87
20140327;5,24
20140328;4,4
20140331;4,7
20140401;5,1
20140402;4,89
20140403;4,91
20140404;4,74
20140407;5,03
20140408;4,91
20140409;4,99
20140410;5,17
20140411;5,37
20140414;5,29
20140415;5,59
20140416;5,51
20140417;5,6
20140422;5,73
20140423;5,72
20140424;5,77
20140425;5,12
20140428;5,26
20140429;5,46
20140430;5,46
20140501;5,46
20140502;5,24
20140505;5,27
20140506;5,28
20140507;5,18
20140508;5,19
20140509;5,3
20140512;5,36
20140513;5,34
20140514;5,16
20140515;4,83
20140516;4,85
20140519;4,75
20140520;4,89
20140521;5,17
20140522;5,21
20140523;5,17
20140526;5,14
20140527;5,22
20140528;5,25
20140529;5,25
20140530;5,1
20140602;5,19
20140603;5,48
20140604;5,44
20140605;5,58
20140606;5,48
20140609;5,57
20140610;5,53
20140611;5,4
20140612;5,59
20140613;5,71
20140616;5,68
20140617;5,75
20140618;5,7
20140619;5,59
20140620;5,7
20140623;5,84
20140624;5,79
20140625;5,75
20140626;5,75
20140627;5,81
